,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
BUU Natural Gas baseline cost,,,,"$2,222",,"$13,636","$9,805","$9,805",,$186,"$2,619",$487,"$1,954","$3,333",$605,,"$2,407",,"$1,134",,,"$1,738","$1,238","$4,824",,,"$8,830","$4,869","$8,503","$2,796","$6,962","$2,910",$586,"$4,668","$16,734",$648,"$13,947",$817,"$6,407",,$482,,"$1,253","$3,623","$5,524","$1,132","$2,015",,,"$8,698","$1,800","$3,170","$5,550",$554,"$6,440",$90,"$1,765",$869,"$13,835","$10,187","$1,504",,"$2,990",,,"$4,715",$891,"$3,464","$1,779","$8,461","$6,496","$5,610","$1,991",,,,,,"$5,204",,,,"$3,255","$2,076","$6,848",,"$4,500","$1,827",,,$605,"$5,884",,,,,,$492,,"$3,842",$404,,"$6,831"
BUU Natural Gas baseline usage,"3,329 Therms",,415 Therms,"1,298 Therms",,"9,697 Therms","12,053 Therms","12,053 Therms",,17 Therms,"2,228 Therms",278 Therms,"2,051 Therms","3,789 Therms",344 Therms,,"1,587 Therms",122 Therms,596 Therms,78 Therms,,"1,595 Therms",921 Therms,"5,427 Therms",,,"8,373 Therms","5,437 Therms","9,466 Therms","3,267 Therms","7,750 Therms","2,701 Therms",379 Therms,"5,129 Therms","20,314 Therms","1,358 Therms","12,085 Therms",341 Therms,"4,880 Therms",,352 Therms,"1,967 Therms","1,305 Therms","4,276 Therms","5,240 Therms",674 Therms,"1,948 Therms","1,686 Therms",,"8,091 Therms","1,605 Therms","3,034 Therms","7,018 Therms",243 Therms,"6,697 Therms",73 Therms,"1,748 Therms",706 Therms,"16,175 Therms","10,204 Therms","1,455 Therms",,"2,629 Therms",,,"4,892 Therms",471 Therms,"3,175 Therms",928 Therms,"6,608 Therms","4,852 Therms","5,325 Therms","1,457 Therms",,,,,,"2,537 Therms",,,,"8,196 Therms","1,766 Therms","6,728 Therms",,"3,153 Therms",943 Therms,,,243 Therms,"6,167 Therms",,,,,,138 Therms,,"3,327 Therms",236 Therms,,"3,249 Therms"
BUU Natural Gas predicted cost,"13,627 Therms",,"4,286 Therms","$2,222",,"$13,636","$9,359","$9,359",,$186,"$2,619","$4,697","$1,749","$2,949","$7,344",,"$2,098",94 Therms,"$6,309",68 Therms,,"$1,598","$1,155","$4,314",,,"$8,239","$4,425","$8,213","$2,652","$6,077","$2,808","$2,355","$3,177","$16,697","$2,151","$9,660",$817,"$5,425",,"$5,626","1,848 Therms","$1,011","$2,725","$4,896","$1,064","$2,015","1,650 Therms",,"$8,698","$1,779","$5,894","$4,831","$10,564","$6,018","$4,399","$1,745","$1,403","$12,649","$8,668","$1,461",,"$2,475",,,"$4,418",$807,"$3,195","$9,888","$8,157","$10,534","$3,907","$1,991",,,,,,"$4,322",,,,"$2,034","$5,792","$6,698",,"$4,469","$1,721",,,$605,"$5,292",,,,,,$249,,"$3,842",$367,,"$5,756"
BUU Natural Gas predicted savings %,"$24,888",,"$7,397",0%,,0%,5%,5%,,0%,0%,-864%,10%,12%,-1114%,,13%,$318,-457%,$252,,8%,7%,11%,,,7%,9%,3%,5%,13%,4%,-302%,32%,0%,-232%,31%,0%,15%,,-1067%,"$1,950",19%,25%,11%,6%,0%,"$2,254",,0%,1%,-86%,13%,-1805%,7%,-4777%,1%,-62%,9%,15%,3%,,17%,,,6%,9%,8%,-456%,4%,-62%,30%,0%,,,,,,17%,,,,37%,-179%,2%,,1%,6%,,,0%,10%,,,,,,50%,,0%,9%,,16%
BUU Natural Gas predicted usage,"$6,081",,$716,"1,298 Therms",,"9,697 Therms","11,505 Therms","11,505 Therms",,17 Therms,"2,228 Therms","2,684 Therms","1,836 Therms","3,352 Therms","4,176 Therms",,"1,383 Therms",$414,"5,126 Therms",$292,,"1,466 Therms",860 Therms,"4,853 Therms",,,"7,813 Therms","4,941 Therms","9,144 Therms","3,098 Therms","6,765 Therms","2,606 Therms","1,522 Therms","3,491 Therms","20,269 Therms","4,512 Therms","8,371 Therms",341 Therms,"4,132 Therms",,4076.5 Therms,"$2,076","1,053 Therms","3,216 Therms","4,644 Therms",634 Therms,"1,948 Therms","$2,304",,"8,091 Therms","1,586 Therms","5,640 Therms","6,109 Therms",8450.84 Therms,"6,259 Therms","3,575 Therms","1,729 Therms","1,140 Therms","14,789 Therms","8,683 Therms","1,413 Therms",,"2,176 Therms",,,"4,584 Therms",461 Therms,"2,928 Therms","5,158 Therms","6,371 Therms","7,934 Therms","3,709 Therms","1,457 Therms",,,,,,"2,107 Therms",,,,"5,123 Therms","4,925 Therms","6,582 Therms",,"3,132 Therms",888 Therms,,,243 Therms,"5,547 Therms",,,,,,138 Therms,,"3,327 Therms",215 Therms,,"2,738 Therms"
BUU No. 2 Fuel Oil baseline cost,,,,,,,,,,"$2,890",,"$8,308",,,"$9,676","$7,346",,,"$10,356",,,,,,,,,,,,,,"$3,959",,,"$10,433",,"$21,658",,"$3,017","$9,590",,,,,,,,,,,"$11,094",,"$22,756",,"$10,464",,,,,,,,,,,"$34,283",,"$13,425",,"$27,245",,,,,,,,,,,,,"$11,701",,,,,,,"$3,181",,,,,,,"$12,552","$1,559",,,,
BUU No. 2 Fuel Oil baseline usage,"9,892 Gallons",,"3,462 Gallons",,,,,,,"1,109 Gallons",,"2,049 Gallons",,,"2,790 Gallons","2,097 Gallons",,"2,314 Gallons","3,624 Gallons","1,453 Gallons",,,,,,,,,,,,,"1,212 Gallons",,,"2,499 Gallons",,"5,858 Gallons",,951 Gallons,"3,120 Gallons",,,,,,,,,,,"7,001 Gallons",,"6,352 Gallons",,"3,105 Gallons",,,,,,,,,,,"14,221 Gallons",,"3,843 Gallons",,"6,499 Gallons",,,,,,,,,,,,,"2,887 Gallons",,,,,,,850 Gallons,,,,,,,"3,416 Gallons",373 Gallons,,,,
BUU No. 2 Fuel Oil predicted cost,207 Gallons,,Gallons,,,,,,,"$2,890",,$0,,,$0,$0,,"2,233 Gallons",$0,"1,402 Gallons",,,,,,,,,,,,,$0,,,$0,,"$16,025",,"$2,989",$0,,,,,,,,,,,$0,,$0,,$0,,,,,,,,,,,"$28,112",,$0,,$0,,,,,,,,,,,,,$0,,,,,,,"$1,680",,,,,,,"$12,552",$939,,,,
BUU No. 2 Fuel Oil predicted savings %,$672,,$0,,,,,,,0%,,100%,,,100%,100%,,"$6,700",100%,"$3,814",,,,,,,,,,,,,100%,,,100%,,26%,,1%,100%,,,,,,,,,,,100%,,100%,,100%,,,,,,,,,,,18%,,100%,,100%,,,,,,,,,,,,,100%,,,,,,,47%,,,,,,,0%,40%,,,,
BUU No. 2 Fuel Oil predicted usage,"$32,141",,"$11,386",,,,,,,"1,109 Gallons",,Gallons,,,0 Gallons,Gallons,,"$6,943",Gallons,"$3,953",,,,,,,,,,,,,Gallons,,,Gallons,,"4,334 Gallons",,942 Gallons,0 Gallons,,,,,,,,,,,Gallons,,0 Gallons,,0 Gallons,,,,,,,,,,,"11,661 Gallons",,Gallons,,Gallons,,,,,,,,,,,,,0 Gallons,,,,,,,449 Gallons,,,,,,,"3,416 Gallons",225 Gallons,,,,
CSTS_Friday_65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Friday_67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Friday_70.0,,,,,,,,,,,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 PM,8:00:00PM,,,8:30 PM,,,,,,,,,,9:00 PM,,
CSTS_Friday_72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:30 PM,,,,,,,,,,,
CSTS_Friday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,4:45:00 AM,,,,,,,,,,,,,,,,,,,,,
CSTS_Friday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,11:45:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Monday_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Monday_67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Monday_70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 PM,8:00:00PM,,,,,,,,,,,,,4:00 PM,,
CSTS_Monday_70.00,,,,,,,,,,,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Monday_72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:30 PM,,,,,,,,,,,
CSTS_Monday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,4:45:00 AM,,,,,,,,,,,,,,,,,,,,,
CSTS_Monday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,11:45:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Saturday_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Saturday_67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Saturday_70.0,,,,,,,,,,,11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 PM,8:00:00PM,,,2:00 PM,,,,,,,,,,4:00 PM,,
CSTS_Saturday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,4:45:00 AM,,,,,,,,,,,,,,,,,,,,,
CSTS_Saturday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,11:45:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Sunday_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Sunday_65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Sunday_67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Sunday_70.0,,,,,,,,,,,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 PM,8:00:00PM,,,8:00 PM,,,,,,,,,,4:00 PM,,
CSTS_Sunday_72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Sunday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:45:00 AM,,,,,,,,,,,,,,,,,,,,,
CSTS_Sunday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:45:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Thursday_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Thursday_65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Thursday_67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Thursday_70.0,,,,,,,,,,,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 PM,8:00:00PM,,,,,,,,,,,,,4:00 PM,,
CSTS_Thursday_72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:30 PM,,,,,,,,,,,
CSTS_Thursday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,4:45:00 AM,,,,,,,,,,,,,,,,,,,,,
CSTS_Thursday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,11:45:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Tuesday_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Tuesday_65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTS_Tuesday_67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Tuesday_70.0,,,,,,,,,,,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 PM,8:00:00PM,,,,,,,,,,,,,10:00 PM,,
CSTS_Tuesday_72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:30 PM,,,,,,,,,,,
CSTS_Tuesday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,4:45:00 AM,,,,,,,,,,,,,,,,,,,,,
CSTS_Tuesday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,11:45:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Wednesday_67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00:00 PM,,,,,,,,,,,,,,,,,,,,,
CSTS_Wednesday_70.0,,,,,,,,,,,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00 PM,8:00:00PM,,,8:30 PM,,,,,,,,,,4:00 PM,,
CSTS_Wednesday_72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:30 PM,,,,,,,,,,,
CSTS_Wednesday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,4:45:00 AM,,,,,,,,,,,,,,,,,,,,,
CSTS_Wednesday_75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:00 AM,,,,,,,,,11:45:00 PM,,,,,,,,,,,,,,,,,,,,,
EBD_Annual_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBD_Annual_Days in Period,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,,365,365,365,365,365,365,,365,365,365,365,365,365,365,365,365,365,365,365,,365,365,365,365,365,365,,365,,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,,365,365,365,365
EBD_Annual_Demand (kW),69.5,0,0,0,15.2,31.1,112,112,0,0,0,0,0,0,0,0,10.5,0,20.7,0,0,0,0,42.6,0,28.6,26.8,42.3,0,0,0,0,0,0,140.4,100.8,21.9,50.8,22.8,12.2,0,,0,0,31.3,16.6,0,0,,0,0,128,0,60.8,41.6,17.3,3.2,25,70.4,84,0,,5.4,0,5.4,43.2,34.7,0,,27.3,,0,20.1,10.2,83.2,19,12.5,8.5,0,,13.8,68.8,11.8,0,26.8,0,26,13.5,0,33,0,0,0,23.184,0,0,14.2,0,,60.3,27.5,20.2,0
EBD_Annual_Demand Cost,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,$0,$0,$0,$0,,$0,$0,$0,$0,$0,,$0,$0,$0,,$0,$0,,$0,$0,$0,$0,$0,$0,,$0,,$0,$0,$0,$0,,,$0,$0,,$0,$0,$0,$0,,$0,$0,$0,$0,"$2,991",$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,$0,$0
EBD_Annual_Electric Usage (kWh),"117,870","16,207","15,564","25,851","32,343","106,938","228,985","228,985","380,400","4,510","10,722","10,106","6,365","15,130","51,172","2,213","21,583","14,232","18,774","12,663","12,651","7,769","3,144","41,130","11,861","15,145","38,471","34,740","9,525","7,911","69,695","4,670","6,499","11,243","132,940","79,360","44,874","49,960","25,632","6,732","13,607",,"8,532",636,"29,196","15,840","14,638","6,134",,"57,400","9,801","156,080","12,021","58,081","180,840","31,880","5,945","46,231","170,240","84,231","7,990",,"3,545","4,283","4,752","37,760","34,110","4,533",,"21,930",,"5,400","61,983","30,616","97,200","29,849","14,650","17,291","15,392","16,088","33,778","167,200","22,770","28,020","92,932","6,042","54,860","55,500","4,007","97,587","9,740","74,760","23,643","29,477","4,757","4,757","12,636","34,372",,"186,302","16,417","50,604","6,962"
EBD_Annual_TRC Estimated Usage?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBD_Annual_Total Electric Cost,"$29,449","$4,694","$4,881","$5,328","$8,944","$23,527","$56,031","$56,031","$82,273","$1,596","$3,958","$3,264","$1,750","$3,888","$11,102",$567,"$6,339","$4,035","$4,656","$3,158","$3,093","$2,075",$993,"$10,710","$2,745","$3,715","$9,645","$8,902","$1,612","$1,634","$11,796","$1,340","$1,809","$2,848","$38,236","$20,387","$14,429","$12,943","$9,333","$1,797","$3,381",,"$2,373",$281,"$8,902","$7,816","$3,681","$2,887",,"$16,965","$1,539","$36,622","$2,995","$13,724","$34,197","$7,679","$1,432","$11,135","$33,952","$19,601","$2,065",,"$1,098","$1,331","$1,700","$5,055","$8,171","$1,218",,"$4,907",,"$1,422","$17,442","$8,894","$24,663","$6,786","$4,167","$4,000","$3,554","$3,434","$8,928","$38,386","$8,069","$8,726","$20,895","$1,527","$10,991","$10,170",$929,"$19,667","$3,102","$14,641","$4,682","$7,541","$1,411","$1,411","$3,374","$6,346",,"$54,915","$5,241","$6,766","$1,858"
EBD_M10_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBD_M10_Days in Period,34,32,32,25,31,34,33,33,33,,34,32,33,29,33,,30,30,30,29,29,32,29,31,,29,29,29,28,,28,20,31,31,32,35,30,30,30,30,30,,19,32,32,,30,30,,29,30,32,30,32,29,29,29,29,30,32,29,,29,31,29,,,,,29,,32,30,29,30,24,35,29,32,,30,59,62,32,32,32,32,32,,34,29,,,32,30,30,30,30,,29,32,29,34
EBD_M10_Demand (kW),44,0,n/a,,12,22,61,61,n/a,,0,0,0,n/a,n/a,,4,0,15,n/a,n/a,n/a,n/a,13,,28,14,14,,,,,,0,137,65,15,47,21,9,,,,0,27,,0,0,,,0,128,n/a,55,32,13,2,18,70,76,0,,3,,3,,,,,23,,0,15,7,59,16,10,5,0,,12,51,11,0,26,0,26,14,,30,0,,,15,0,0,13,-,,55,18,18,n/a
EBD_M10_Demand Cost,,$0,n/a,,not provided,not provided,not provided,not provided,n/a,,$0,$0,$0,n/a,n/a,,not provided,$0,not provided,n/a,n/a,n/a,n/a,n/a,,$0,not provided,not provided,,,,,,$0,Not Provided,Not Provided,not provided,not provided,not provided,not provided,,,,$0,Not Provided,,$0,$0,,,$0,not provided,n/a,not provided,not provided,,,,"$1,555",not provided,$0,,n/a,,not provided,,,,,not provided,,$0,,,$0,,,$0,$0,,$0,not provided,$0,$0,,$0,not provided,not provided,,$362,$0,,,not provided,n/a,n/a,n/a,n/a,,not provided,$0,not provided,n/a
EBD_M10_Electric Usage (kWh),"7,470",731,"1,219","1,496","1,600","8,280","15,200","15,200","34,200",,897,822,741,"1,050","4,277",,"1,547","1,330","2,628",561,940,880,240,"3,114",,"2,862","2,538","2,304",628,,"4,592",380,450,972,"8,280","2,760","3,636","3,200","1,476",564,"1,161",,312,45,"3,762",,903,600,,"3,520",876,"15,600","1,010","5,360","13,400","2,206",411,"3,199","19,680","9,200",817,,264,149,216,,,,,"4,734",,360,"3,402","2,100","7,040","1,640","1,100",864,668,,"3,504","31,360","3,762","2,167","10,280",452,"7,180","6,300",,"11,040",270,,,"2,208",213,213,"1,152","3,720",,"14,640","1,080","4,476",774
EBD_M10_Period Ending,12/10/14,6/22/15,1/5/15,12/12/14,10/6/14,12/9/14,1/13/15,1/13/15,12/9/14,,1/20/15,1/27/15,2/2/15,12/30/14,1/28/15,,2/20/15,3/5/15,1/9/15,3/18/15,3/18/15,2/3/15,3/20/15,4/20/15,,4/22/15,5/12/15,4/14/15,4/17/15,,4/17/15,4/12/15,4/13/15,5/18/15,6/23/15,6/26/15,6/4/15,5/29/15,6/12/15,6/5/15,6/19/15,,6/1/15,7/28/15,6/23/15,,7/31/15,6/24/15,,5/2/14,6/24/15,7/6/15,9/18/15,7/20/15,6/24/15,5/22/15,5/22/15,5/22/15,7/24/15,7/21/15,8/19/15,,5/6/14,6/29/15,4/29/15,,,,,8/26/15,,10/26/15,7/10/14,5/1/14,5/29/14,5/5/14,4/24/14,4/25/14,6/23/14,,7/10/14,8/8/14,7/7/14,6/2/14,6/16/14,4/25/14,7/25/14,7/25/14,,7/18/14,6/25/14,,,9/8/14,9/5/14,9/5/14,9/19/14,9/12/14,,10/31/14,1/6/15,8/5/14,12/9/14
EBD_M10_TRC Estimated Usage?,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,Yes,,Yes,no,no,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,No,
EBD_M10_Total Electric Cost,"$1,849",$236,$377,$312,$433,"$1,755","$3,576","$3,576","$7,523",,$330,$275,$204,$234,$963,,$459,$446,$563,$141,$223,$275,$77,$753,,$629,$777,$554,$106,,$777,$92,$112,$232,"$2,361",$695,$974,$808,$763,$149,$279,,$83,$23,"$1,022",,$226,$300,,"$1,034",$142,"$3,592",$240,"$1,281","$2,397",$534,$100,$775,"$4,274","$2,160",$200,,$75,$58,$81,,,,,"$1,089",,$91,"$1,036",$504,"$1,771",$414,$344,$227,$172,,$886,"$6,920","$1,386",$687,"$2,273",$128,"$1,439","$1,157",,"$2,274",$89,,,$558,$68,$68,$290,$662,,"$4,555",$349,$627,$199
EBD_M11_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBD_M11_Days in Period,32,30,30,35,29,30,30,30,31,,29,30,30,31,28,,31,29,32,29,29,30,31,29,,29,30,29,27,,27,30,29,30,30,27,32,31,32,32,32,,28,29,30,,31,31,,32,31,29,,29,30,32,32,32,31,29,30,,30,30,30,,,,,30,,29,,32,29,36,27,28,31,,29,32,29,29,30,27,32,32,,27,91,,,29,31,31,32,33,,34,,30,30
