,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
2FBD_M9_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2FBD_Total_Days in Period,345,,731,,,,,,,,,349,,,365,,,365,358,365,366,,,,,,,,,,,,,,,365,,364,,,365,,,,,,,,,,,365,,,,365,,,,,,,,,,,365,,,,,,,,,,,,,,,,,365,,,,,,,364,,,,,,,358,638,,,,
2FBD_Total_Fuel Cost,"$30,379",,"$22,803",,,,,,,,,"$7,943",,,"$9,676",,,"$6,943","$10,157","$3,953","$3,450",,,,,,,,,,,,,,,"$10,433",,"$21,599",,,"$9,590",,,,,,,,,,,"$11,094",,,,"$10,464",,,,,,,,,,,"$34,283",,,,,,,,,,,,,,,,,"$11,701",,,,,,,"$3,173",,,,,,,"$12,312","$2,725",,,,
2FBD_Total_OilUsage(Gallons),"9,350",,"6,934",,,,,,,,,"1,959",,,"2,790",,,"2,314","3,555","1,453","1,289",,,,,,,,,,,,,,,"2,499",,"5,842",,,"3,120",,,,,,,,,,,"7,001",,,,"3,105",,,,,,,,,,,"14,221",,,,,,,,,,,,,,,,,"2,887",,,,,,,848,,,,,,,"3,350",652,,,,
2FBD_Total_TRC Estimated Usage?,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
BUU Electricity baseline cost,,"$4,694",,"$5,328","$8,944","$23,527","$56,031","$56,031",,"$1,596","$3,958","$3,264","$1,750","$3,888","$11,102",$567,"$6,339",,"$4,656",,,"$2,075",$993,"$10,710","$2,745","$3,715","$9,645","$8,902","$1,612","$1,634","$11,796","$1,340","$1,809","$2,848","$38,236","$20,387","$14,429","$12,943","$9,333","$1,797","$3,381",,"$2,373",$281,"$8,902","$7,816","$3,681",,"$5,602","$16,965","$1,539","$36,622","$2,995","$13,724","$34,197","$7,679","$1,432","$11,135","$33,952","$19,601","$2,065","$2,478","$1,098","$1,331","$1,700","$5,055","$8,171","$1,218","$12,574","$4,907","$51,712","$1,422","$17,442",,,"$6,786",,,"$3,554",,"$8,928",,"$8,069","$8,726","$20,895",,"$10,991","$10,170",$929,,"$3,102","$14,641",,,,,,"$6,346",,"$54,915","$5,241","$6,766","$1,858"
BUU Electricity baseline usage,"117,870 kWh","16,207 kWh","15,564 kWh","25,851 kWh","32,343 kWh","106,938 kWh","228,985 kWh","228,985 kWh",,"4,510 kWh","10,722 kWh","10,106 kWh","6,365 kWh","15,130 kWh","51,172 kWh","2,213 kWh","21,583 kWh","14,232 kWh","18,774 kWh","12,663 kWh",,"7,769 kWh","3,144 kWh","41,130 kWh","11,861 kWh","15,145 kWh","38,471 kWh","34,740 kWh","9,525 kWh","7,911 kWh","69,695 kWh","4,670 kWh","6,499 kWh","11,243 kWh","132,940 kWh","79,360 kWh","44,874 kWh","49,960 kWh","25,632 kWh","6,732 kWh","13,607 kWh","5,712 kWh","8,532 kWh",636 kWh,"29,196 kWh","15,840 kWh","14,638 kWh","6,134 kWh","14,688 kWh","57,400 kWh","9,801 kWh","156,080 kWh","12,021 kWh","58,081 kWh","180,840 kWh","31,880 kWh","5,945 kWh","46,231 kWh","170,240 kWh","84,231 kWh","7,990 kWh","7,992 kWh","3,545 kWh","4,283 kWh","4,752 kWh","37,760 kWh","34,110 kWh","4,533 kWh","50,240 kWh","21,930 kWh","205,336 kWh","5,400 kWh","61,983 kWh",,,"29,849 kWh",,,"15,392 kWh",,"33,778 kWh",,"22,770 kWh","28,020 kWh","92,932 kWh",,"54,860 kWh","55,500 kWh","4,007 kWh",,"9,740 kWh","74,760 kWh",,,,,,"34,372 kWh",,"186,302 kWh","16,417 kWh","50,604 kWh","6,962 kWh"
BUU Electricity predicted cost,"88,123 kWh","$3,450","11,527 kWh","$4,249","$8,204","$20,549","$48,553","$48,553",,"$1,233","$2,543","$2,330","$1,260","$2,806","$8,699",$482,"$5,495","5,924 kWh","$2,672","11,146 kWh",,"$1,588",$985,"$5,228","$2,173",,"$7,566","$6,415","$1,100","$1,271","$6,335",$836,"$1,162","$1,970","$37,122","$19,244","$10,483","$10,606","$6,331","$1,412","$1,476","4,349 kWh",$921,$234,"$7,532","$6,035","$3,001","4,024 kWh","$4,907","$8,329","$1,217","$29,664","$1,650","$9,426","$30,817","$5,690","$1,021","$5,681","$30,330","$16,345","$1,828","$1,900",$644,"$1,208","$1,427","$3,862","$4,057",$840,"$8,533","$2,678","$41,054","$1,027","$14,535",,,"$6,666",,,"$2,990",,"$8,010",,"$5,934","$6,189","$18,884",,"$10,558","$9,460",$761,,"$1,468","$8,096",,,,,,"$4,210",,"$51,734","$2,984","$5,103","$1,185"
BUU Electricity predicted savings %,"$22,017",27%,"$3,615",20%,8%,13%,13%,13%,,23%,36%,29%,28%,28%,22%,15%,13%,"$1,680",43%,"$2,780",,23%,1%,51%,21%,"$3,200",22%,28%,32%,22%,46%,38%,36%,31%,3%,6%,27%,18%,32%,21%,56%,"$1,455",61%,17%,15%,23%,18%,"$1,894",12%,51%,21%,19%,45%,31%,10%,26%,29%,49%,11%,17%,11%,23%,41%,9%,16%,24%,50%,31%,32%,45%,21%,28%,17%,,,2%,,,16%,,10%,,26%,29%,10%,,4%,7%,18%,,53%,45%,,,,,,34%,,6%,43%,25%,36%
BUU Electricity predicted usage,"$29,449","11,911 kWh","$4,881","20,616 kWh","29,666 kWh","93,400 kWh","198,423 kWh","198,423 kWh",,"3,484 kWh","6,890 kWh","7,216 kWh","4,581 kWh","10,917 kWh","40,095 kWh","1,882 kWh","18,708 kWh","$4,035","10,777 kWh","$3,158",,"5,945 kWh","3,118 kWh","20,075 kWh","9,388 kWh","13,047 kWh","30,179 kWh","25,034 kWh","6,499 kWh","6,151 kWh","37,430 kWh","2,916 kWh","4,176 kWh","7,777 kWh","129,065 kWh","74,910 kWh","32,602 kWh","40,939 kWh","17,388 kWh","5,291 kWh","5,940 kWh","$1,910","3,313 kWh",531 kWh,"24,705 kWh","12,230 kWh","11,932 kWh","$2,887","12,865 kWh","28,183 kWh","7,754 kWh","126,424 kWh","6,624 kWh","39,891 kWh","162,968 kWh","23,621 kWh","4,237 kWh","23,585 kWh","152,078 kWh","70,240 kWh","7,072 kWh","6,128 kWh","2,078 kWh","3,888 kWh","3,989 kWh","28,849 kWh","16,936 kWh","3,124 kWh","34,094 kWh","11,969 kWh","169,989 kWh","3,901 kWh","51,654 kWh",,,"29,325 kWh",,,"12,947 kWh",,"30,305 kWh",,"16,746 kWh","19,872 kWh","83,987 kWh",,"52,698 kWh","51,623 kWh","3,282 kWh",,"4,609 kWh","41,339 kWh",,,,,,"22,801 kWh",,"175,511 kWh","9,348 kWh","38,167 kWh","4,441 kWh"
